author1,author2,trial,accuracy
human,gpt-3.5-turbo-0125,14,0.8675
human,gpt-3.5-turbo-0125,15,0.905
human,gpt-3.5-turbo-0125,16,0.9375
human,gpt-3.5-turbo-0125,17,0.915
human,gpt-3.5-turbo-0125,18,0.9175
human,gpt-3.5-turbo-0125,19,0.825
human,gpt-3.5-turbo-0125,20,0.945
human,gpt-3.5-turbo-0125,21,0.85625
human,gpt-3.5-turbo-0125,22,0.87625
human,gpt-3.5-turbo-0125,23,0.95375
human,gpt-3.5-turbo-0125,24,0.9725
human,gpt-3.5-turbo-0125,25,0.86
human,gpt-3.5-turbo-0125,26,0.97
human,gpt-3.5-turbo-0125,27,0.9225
human,gpt-3.5-turbo-0125,28,0.83
human,gpt-3.5-turbo-0125,29,0.86375
human,gpt-4-turbo-2024-04-09,0,0.93625
human,gpt-4-turbo-2024-04-09,1,0.9575
human,gpt-4-turbo-2024-04-09,2,0.9575
human,gpt-4-turbo-2024-04-09,3,0.95875
human,gpt-4-turbo-2024-04-09,4,0.93375
human,gpt-4-turbo-2024-04-09,5,0.955
human,gpt-4-turbo-2024-04-09,6,0.96
human,gpt-4-turbo-2024-04-09,7,0.87375
human,gpt-4-turbo-2024-04-09,8,0.9075
human,gpt-4-turbo-2024-04-09,9,0.9475
human,gpt-4-turbo-2024-04-09,10,0.9425
human,gpt-4-turbo-2024-04-09,11,0.9525
human,gpt-4-turbo-2024-04-09,12,0.85
human,gpt-4-turbo-2024-04-09,13,0.965
human,gpt-4-turbo-2024-04-09,14,0.93125
human,gpt-4-turbo-2024-04-09,15,0.91625
human,gpt-4-turbo-2024-04-09,16,0.94375
human,gpt-4-turbo-2024-04-09,17,0.88875
human,gpt-4-turbo-2024-04-09,18,0.95875
human,gpt-4-turbo-2024-04-09,19,0.96125
human,gpt-4-turbo-2024-04-09,20,0.95125
human,gpt-4-turbo-2024-04-09,21,0.9275
human,gpt-4-turbo-2024-04-09,22,0.9075
human,gpt-4-turbo-2024-04-09,23,0.89375
human,gpt-4-turbo-2024-04-09,24,0.87375
human,gpt-4-turbo-2024-04-09,25,0.89125
human,gpt-4-turbo-2024-04-09,26,0.94875
human,gpt-4-turbo-2024-04-09,27,0.88375
human,gpt-4-turbo-2024-04-09,28,0.94875
human,gpt-4-turbo-2024-04-09,29,0.905
gemini-1.0-pro,gemini-1.5-pro-latest,0,0.88625
gemini-1.0-pro,gemini-1.5-pro-latest,1,0.915
gemini-1.0-pro,gemini-1.5-pro-latest,2,0.84125
gemini-1.0-pro,gemini-1.5-pro-latest,3,0.85
gemini-1.0-pro,gemini-1.5-pro-latest,4,0.88
gemini-1.0-pro,gemini-1.5-pro-latest,5,0.86625
gemini-1.0-pro,gemini-1.5-pro-latest,6,0.81
gemini-1.0-pro,gemini-1.5-pro-latest,7,0.8675
gemini-1.0-pro,gemini-1.5-pro-latest,8,0.8175
gemini-1.0-pro,gemini-1.5-pro-latest,9,0.9175
gemini-1.0-pro,gemini-1.5-pro-latest,10,0.8425
gemini-1.0-pro,gemini-1.5-pro-latest,11,0.9175
gemini-1.0-pro,gemini-1.5-pro-latest,12,0.75875
gemini-1.0-pro,gemini-1.5-pro-latest,13,0.76875
gemini-1.0-pro,gemini-1.5-pro-latest,14,0.8575
gemini-1.0-pro,gemini-1.5-pro-latest,15,0.815
gemini-1.0-pro,gemini-1.5-pro-latest,16,0.89875
gemini-1.0-pro,gemini-1.5-pro-latest,17,0.825
gemini-1.0-pro,gemini-1.5-pro-latest,18,0.89125
gemini-1.0-pro,gemini-1.5-pro-latest,19,0.81375
gemini-1.0-pro,gemini-1.5-pro-latest,20,0.8325
gemini-1.0-pro,gemini-1.5-pro-latest,21,0.87875
gemini-1.0-pro,gemini-1.5-pro-latest,22,0.87
gemini-1.0-pro,gemini-1.5-pro-latest,23,0.84375
gemini-1.0-pro,gemini-1.5-pro-latest,24,0.8275
gemini-1.0-pro,gemini-1.5-pro-latest,25,0.8725
gemini-1.0-pro,gemini-1.5-pro-latest,26,0.78125
gemini-1.0-pro,gemini-1.5-pro-latest,27,0.8075
gemini-1.0-pro,gemini-1.5-pro-latest,28,0.86375
gemini-1.0-pro,gemini-1.5-pro-latest,29,0.90375
gemini-1.0-pro,claude-3-sonnet-20240229,0,0.5775
gemini-1.0-pro,claude-3-sonnet-20240229,1,0.83625
gemini-1.0-pro,claude-3-sonnet-20240229,2,0.78625
gemini-1.0-pro,claude-3-sonnet-20240229,3,0.77125
gemini-1.0-pro,claude-3-sonnet-20240229,4,0.88125
gemini-1.0-pro,claude-3-sonnet-20240229,5,0.915
gemini-1.0-pro,claude-3-sonnet-20240229,6,0.7575
gemini-1.0-pro,claude-3-sonnet-20240229,7,0.88125
gemini-1.0-pro,claude-3-sonnet-20240229,8,0.84125
gemini-1.0-pro,claude-3-sonnet-20240229,9,0.785
gemini-1.0-pro,claude-3-sonnet-20240229,10,0.85625
gemini-1.0-pro,claude-3-sonnet-20240229,11,0.65625
gemini-1.0-pro,claude-3-sonnet-20240229,12,0.85875
gemini-1.0-pro,claude-3-sonnet-20240229,13,0.85875
gemini-1.0-pro,claude-3-sonnet-20240229,14,0.665
gemini-1.0-pro,claude-3-sonnet-20240229,15,0.8575
gemini-1.0-pro,claude-3-sonnet-20240229,16,0.76375
gemini-1.0-pro,claude-3-sonnet-20240229,17,0.93125
gemini-1.0-pro,claude-3-sonnet-20240229,18,0.84125
gemini-1.0-pro,claude-3-sonnet-20240229,19,0.8025
gemini-1.0-pro,claude-3-sonnet-20240229,20,0.8125
gemini-1.0-pro,claude-3-sonnet-20240229,21,0.83625
gemini-1.0-pro,claude-3-sonnet-20240229,22,0.83125
gemini-1.0-pro,claude-3-sonnet-20240229,23,0.8525
gemini-1.0-pro,claude-3-sonnet-20240229,24,0.85875
gemini-1.0-pro,claude-3-sonnet-20240229,25,0.7175
gemini-1.0-pro,claude-3-sonnet-20240229,26,0.85875
gemini-1.0-pro,claude-3-sonnet-20240229,27,0.77
gemini-1.0-pro,claude-3-sonnet-20240229,28,0.79125
gemini-1.0-pro,claude-3-sonnet-20240229,29,0.75375
gemini-1.0-pro,claude-3-opus-20240229,0,0.7625
gemini-1.0-pro,claude-3-opus-20240229,1,0.725
gemini-1.0-pro,claude-3-opus-20240229,2,0.76125
gemini-1.0-pro,claude-3-opus-20240229,3,0.6725
gemini-1.0-pro,claude-3-opus-20240229,4,0.81875
gemini-1.0-pro,claude-3-opus-20240229,5,0.84625
gemini-1.0-pro,claude-3-opus-20240229,6,0.795
gemini-1.0-pro,claude-3-opus-20240229,7,0.82
gemini-1.0-pro,claude-3-opus-20240229,8,0.695
gemini-1.0-pro,claude-3-opus-20240229,9,0.9
gemini-1.0-pro,claude-3-opus-20240229,10,0.69125
gemini-1.0-pro,claude-3-opus-20240229,11,0.77375
gemini-1.0-pro,claude-3-opus-20240229,12,0.74125
gemini-1.0-pro,claude-3-opus-20240229,13,0.66375
gemini-1.0-pro,claude-3-opus-20240229,14,0.82125
gemini-1.0-pro,claude-3-opus-20240229,15,0.86375
gemini-1.0-pro,claude-3-opus-20240229,16,0.85
gemini-1.0-pro,claude-3-opus-20240229,17,0.73375
gemini-1.0-pro,claude-3-opus-20240229,18,0.805
gemini-1.0-pro,claude-3-opus-20240229,19,0.6175
gemini-1.0-pro,claude-3-opus-20240229,20,0.75625
gemini-1.0-pro,claude-3-opus-20240229,21,0.6775
gemini-1.0-pro,claude-3-opus-20240229,22,0.70875
gemini-1.0-pro,claude-3-opus-20240229,23,0.67375
gemini-1.0-pro,claude-3-opus-20240229,24,0.81625
gemini-1.0-pro,claude-3-opus-20240229,25,0.72375
gemini-1.0-pro,claude-3-opus-20240229,26,0.90125
gemini-1.0-pro,claude-3-opus-20240229,27,0.72
gemini-1.0-pro,claude-3-opus-20240229,28,0.795
gemini-1.0-pro,claude-3-opus-20240229,29,0.875
gemini-1.0-pro,gpt-3.5-turbo-0125,0,0.845
gemini-1.0-pro,gpt-3.5-turbo-0125,1,0.82
gemini-1.0-pro,gpt-3.5-turbo-0125,2,0.7775
gemini-1.0-pro,gpt-3.5-turbo-0125,3,0.8275
gemini-1.0-pro,gpt-3.5-turbo-0125,4,0.8425
gemini-1.0-pro,gpt-3.5-turbo-0125,5,0.785
gemini-1.0-pro,gpt-3.5-turbo-0125,6,0.8575
gemini-1.0-pro,gpt-3.5-turbo-0125,7,0.81
gemini-1.0-pro,gpt-3.5-turbo-0125,8,0.77125
gemini-1.0-pro,gpt-3.5-turbo-0125,9,0.8425
gemini-1.0-pro,gpt-3.5-turbo-0125,10,0.7975
gemini-1.0-pro,gpt-3.5-turbo-0125,11,0.79625
gemini-1.0-pro,gpt-3.5-turbo-0125,12,0.74625
gemini-1.0-pro,gpt-3.5-turbo-0125,13,0.76625
gemini-1.0-pro,gpt-3.5-turbo-0125,14,0.765
gemini-1.0-pro,gpt-3.5-turbo-0125,15,0.81125
gemini-1.0-pro,gpt-3.5-turbo-0125,16,0.78875
gemini-1.0-pro,gpt-3.5-turbo-0125,17,0.77625
gemini-1.0-pro,gpt-3.5-turbo-0125,18,0.84125
gemini-1.0-pro,gpt-3.5-turbo-0125,19,0.875
gemini-1.0-pro,gpt-3.5-turbo-0125,20,0.77
gemini-1.0-pro,gpt-3.5-turbo-0125,21,0.70875
gemini-1.0-pro,gpt-3.5-turbo-0125,22,0.77875
gemini-1.0-pro,gpt-3.5-turbo-0125,23,0.77375
gemini-1.0-pro,gpt-3.5-turbo-0125,24,0.8
gemini-1.0-pro,gpt-3.5-turbo-0125,25,0.84
gemini-1.0-pro,gpt-3.5-turbo-0125,26,0.78
gemini-1.0-pro,gpt-3.5-turbo-0125,27,0.8
gemini-1.0-pro,gpt-3.5-turbo-0125,28,0.72875
gemini-1.0-pro,gpt-3.5-turbo-0125,29,0.80375
gemini-1.0-pro,gpt-4-turbo-2024-04-09,0,0.78625
gemini-1.0-pro,gpt-4-turbo-2024-04-09,1,0.73
gemini-1.0-pro,gpt-4-turbo-2024-04-09,2,0.89125
gemini-1.0-pro,gpt-4-turbo-2024-04-09,3,0.835
gemini-1.0-pro,gpt-4-turbo-2024-04-09,4,0.8975
gemini-1.0-pro,gpt-4-turbo-2024-04-09,5,0.8775
gemini-1.0-pro,gpt-4-turbo-2024-04-09,6,0.93375
gemini-1.0-pro,gpt-4-turbo-2024-04-09,7,0.82
gemini-1.0-pro,gpt-4-turbo-2024-04-09,8,0.8825
gemini-1.0-pro,gpt-4-turbo-2024-04-09,9,0.83375
gemini-1.0-pro,gpt-4-turbo-2024-04-09,10,0.895
gemini-1.0-pro,gpt-4-turbo-2024-04-09,11,0.84125
gemini-1.0-pro,gpt-4-turbo-2024-04-09,12,0.7775
gemini-1.0-pro,gpt-4-turbo-2024-04-09,13,0.785
gemini-1.0-pro,gpt-4-turbo-2024-04-09,14,0.76625
gemini-1.0-pro,gpt-4-turbo-2024-04-09,15,0.9275
gemini-1.0-pro,gpt-4-turbo-2024-04-09,16,0.94
gemini-1.0-pro,gpt-4-turbo-2024-04-09,17,0.895
gemini-1.0-pro,gpt-4-turbo-2024-04-09,18,0.785
gemini-1.0-pro,gpt-4-turbo-2024-04-09,19,0.86625
gemini-1.0-pro,gpt-4-turbo-2024-04-09,20,0.8425
gemini-1.0-pro,gpt-4-turbo-2024-04-09,21,0.7675
gemini-1.0-pro,gpt-4-turbo-2024-04-09,22,0.86125
gemini-1.0-pro,gpt-4-turbo-2024-04-09,23,0.885
gemini-1.0-pro,gpt-4-turbo-2024-04-09,24,0.87875
gemini-1.0-pro,gpt-4-turbo-2024-04-09,25,0.8375
gemini-1.0-pro,gpt-4-turbo-2024-04-09,26,0.77875
gemini-1.0-pro,gpt-4-turbo-2024-04-09,27,0.9
gemini-1.0-pro,gpt-4-turbo-2024-04-09,28,0.8825
gemini-1.0-pro,gpt-4-turbo-2024-04-09,29,0.9175
gemini-1.5-pro-latest,claude-3-sonnet-20240229,0,0.8325
gemini-1.5-pro-latest,claude-3-sonnet-20240229,1,0.72625
gemini-1.5-pro-latest,claude-3-sonnet-20240229,2,0.84375
gemini-1.5-pro-latest,claude-3-sonnet-20240229,3,0.69875
gemini-1.5-pro-latest,claude-3-sonnet-20240229,4,0.73
gemini-1.5-pro-latest,claude-3-sonnet-20240229,5,0.88375
gemini-1.5-pro-latest,claude-3-sonnet-20240229,6,0.76625
gemini-1.5-pro-latest,claude-3-sonnet-20240229,7,0.7825
gemini-1.5-pro-latest,claude-3-sonnet-20240229,8,0.8075
gemini-1.5-pro-latest,claude-3-sonnet-20240229,9,0.71125
gemini-1.5-pro-latest,claude-3-sonnet-20240229,10,0.88375
gemini-1.5-pro-latest,claude-3-sonnet-20240229,11,0.79
gemini-1.5-pro-latest,claude-3-sonnet-20240229,12,0.91
gemini-1.5-pro-latest,claude-3-sonnet-20240229,13,0.88375
gemini-1.5-pro-latest,claude-3-sonnet-20240229,14,0.72875
gemini-1.5-pro-latest,claude-3-sonnet-20240229,15,0.87625
gemini-1.5-pro-latest,claude-3-sonnet-20240229,16,0.86875
gemini-1.5-pro-latest,claude-3-sonnet-20240229,17,0.8375
gemini-1.5-pro-latest,claude-3-sonnet-20240229,18,0.82625
gemini-1.5-pro-latest,claude-3-sonnet-20240229,19,0.7975
gemini-1.5-pro-latest,claude-3-sonnet-20240229,20,0.8325
gemini-1.5-pro-latest,claude-3-sonnet-20240229,21,0.88875
gemini-1.5-pro-latest,claude-3-sonnet-20240229,22,0.78625
gemini-1.5-pro-latest,claude-3-sonnet-20240229,23,0.89
gemini-1.5-pro-latest,claude-3-sonnet-20240229,24,0.83
gemini-1.5-pro-latest,claude-3-sonnet-20240229,25,0.7625
gemini-1.5-pro-latest,claude-3-sonnet-20240229,26,0.8825
gemini-1.5-pro-latest,claude-3-sonnet-20240229,27,0.765
gemini-1.5-pro-latest,claude-3-sonnet-20240229,28,0.78875
gemini-1.5-pro-latest,claude-3-sonnet-20240229,29,0.80875
gemini-1.5-pro-latest,claude-3-opus-20240229,0,0.8175
gemini-1.5-pro-latest,claude-3-opus-20240229,1,0.875
gemini-1.5-pro-latest,claude-3-opus-20240229,2,0.85375
gemini-1.5-pro-latest,claude-3-opus-20240229,3,0.83875
gemini-1.5-pro-latest,claude-3-opus-20240229,4,0.84625
gemini-1.5-pro-latest,claude-3-opus-20240229,5,0.86
gemini-1.5-pro-latest,claude-3-opus-20240229,6,0.84375
gemini-1.5-pro-latest,claude-3-opus-20240229,7,0.8525
gemini-1.5-pro-latest,claude-3-opus-20240229,8,0.80625
gemini-1.5-pro-latest,claude-3-opus-20240229,9,0.81
gemini-1.5-pro-latest,claude-3-opus-20240229,10,0.845
gemini-1.5-pro-latest,claude-3-opus-20240229,11,0.81375
gemini-1.5-pro-latest,claude-3-opus-20240229,12,0.87125
gemini-1.5-pro-latest,claude-3-opus-20240229,13,0.8075
gemini-1.5-pro-latest,claude-3-opus-20240229,14,0.75625
gemini-1.5-pro-latest,claude-3-opus-20240229,15,0.8975
gemini-1.5-pro-latest,claude-3-opus-20240229,16,0.86875
gemini-1.5-pro-latest,claude-3-opus-20240229,17,0.7975
gemini-1.5-pro-latest,claude-3-opus-20240229,18,0.76375
gemini-1.5-pro-latest,claude-3-opus-20240229,19,0.7675
gemini-1.5-pro-latest,claude-3-opus-20240229,20,0.875
gemini-1.5-pro-latest,claude-3-opus-20240229,21,0.88
gemini-1.5-pro-latest,claude-3-opus-20240229,22,0.7675
gemini-1.5-pro-latest,claude-3-opus-20240229,23,0.87375
gemini-1.5-pro-latest,claude-3-opus-20240229,24,0.83
gemini-1.5-pro-latest,claude-3-opus-20240229,25,0.7
gemini-1.5-pro-latest,claude-3-opus-20240229,26,0.78125
gemini-1.5-pro-latest,claude-3-opus-20240229,27,0.87875
gemini-1.5-pro-latest,claude-3-opus-20240229,28,0.83125
gemini-1.5-pro-latest,claude-3-opus-20240229,29,0.84375
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,0,0.88625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,1,0.82875
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,2,0.8525
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,3,0.75375
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,4,0.8625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,5,0.8575
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,6,0.9125
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,7,0.85125
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,8,0.84875
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,9,0.81625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,10,0.895
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,11,0.9175
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,12,0.9
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,13,0.905
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,14,0.84
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,15,0.86375
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,16,0.84125
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,17,0.8775
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,18,0.80625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,19,0.81875
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,20,0.90125
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,21,0.86
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,22,0.81875
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,23,0.86875
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,24,0.70625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,25,0.785
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,26,0.75375
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,27,0.84625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,28,0.78375
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,29,0.8475
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,0,0.72875
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,1,0.89
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,2,0.87875
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,3,0.88375
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,4,0.9
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,5,0.7825
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,6,0.91125
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,7,0.85375
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,8,0.9325
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,9,0.89875
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,10,0.89125
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,11,0.9325
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,12,0.8925
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,13,0.82625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,14,0.93125
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,15,0.92
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,16,0.93625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,17,0.84375
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,18,0.94625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,19,0.8275
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,20,0.94375
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,21,0.84625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,22,0.94625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,23,0.91
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,24,0.88125
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,25,0.86125
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,26,0.915
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,27,0.91625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,28,0.8575
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,29,0.80375
claude-3-sonnet-20240229,claude-3-opus-20240229,0,0.74625
claude-3-sonnet-20240229,claude-3-opus-20240229,1,0.65
claude-3-sonnet-20240229,claude-3-opus-20240229,2,0.63125
claude-3-sonnet-20240229,claude-3-opus-20240229,3,0.585
claude-3-sonnet-20240229,claude-3-opus-20240229,4,0.66125
claude-3-sonnet-20240229,claude-3-opus-20240229,5,0.6325
claude-3-sonnet-20240229,claude-3-opus-20240229,6,0.73125
claude-3-sonnet-20240229,claude-3-opus-20240229,7,0.67625
claude-3-sonnet-20240229,claude-3-opus-20240229,8,0.75125
claude-3-sonnet-20240229,claude-3-opus-20240229,9,0.61875
claude-3-sonnet-20240229,claude-3-opus-20240229,10,0.645
claude-3-sonnet-20240229,claude-3-opus-20240229,11,0.67625
claude-3-sonnet-20240229,claude-3-opus-20240229,12,0.61625
claude-3-sonnet-20240229,claude-3-opus-20240229,13,0.64125
claude-3-sonnet-20240229,claude-3-opus-20240229,14,0.61375
claude-3-sonnet-20240229,claude-3-opus-20240229,15,0.60625
claude-3-sonnet-20240229,claude-3-opus-20240229,16,0.59875
claude-3-sonnet-20240229,claude-3-opus-20240229,17,0.6625
claude-3-sonnet-20240229,claude-3-opus-20240229,18,0.6375
claude-3-sonnet-20240229,claude-3-opus-20240229,19,0.6175
claude-3-sonnet-20240229,claude-3-opus-20240229,20,0.6575
claude-3-sonnet-20240229,claude-3-opus-20240229,21,0.695
claude-3-sonnet-20240229,claude-3-opus-20240229,22,0.72875
claude-3-sonnet-20240229,claude-3-opus-20240229,23,0.685
claude-3-sonnet-20240229,claude-3-opus-20240229,24,0.69875
